index,in_data,u,g,r,Ha,i,r.Ha.i,Rne,coherent,shape,best_filter,comment
107,FALSE,,,,,,,,,,,
108,FALSE,,,,,,,,,,,
109,FALSE,,,,,,,,,,,
110,FALSE,,,,,,,,,,,
111,FALSE,,,,,,,,,,,
112,FALSE,,,,,,,,,,,
113,FALSE,,,,,,,,,,,
114,FALSE,,,,,,,,,,,
115,FALSE,,,,,,,,,,,
116,FALSE,,,,,,,,,,,
117,FALSE,,,,,,,,,,,
118,FALSE,,,,,,,,,,,
119,FALSE,,,,,,,,,,,
120,FALSE,,,,,,,,,,,
121,FALSE,,,,,,,,,,,
122,FALSE,,,,,,,,,,,
123,FALSE,,,,,,,,,,,
124,FALSE,,,,,,,,,,,
125,FALSE,,,,,,,,,,,
126,FALSE,,,,,,,,,,,
127,FALSE,,,,,,,,,,,
128,FALSE,,,,,,,,,,,
129,FALSE,,,,,,,,,,,
130,FALSE,,,,,,,,,,,
131,FALSE,,,,,,,,,,,
132,FALSE,,,,,,,,,,,
133,FALSE,,,,,,,,,,,
134,FALSE,,,,,,,,,,,
135,FALSE,,,,,,,,,,,
136,FALSE,,,,,,,,,,,
137,FALSE,,,,,,,,,,,
138,FALSE,,,,,,,,,,,
139,FALSE,,,,,,,,,,,
140,FALSE,,,,,,,,,,,
141,FALSE,,,,,,,,,,,
142,FALSE,,,,,,,,,,,
143,FALSE,,,,,,,,,,,
144,FALSE,,,,,,,,,,,
145,FALSE,,,,,,,,,,,
146,FALSE,,,,,,,,,,,
147,FALSE,,,,,,,,,,,
148,FALSE,,,,,,,,,,,
149,FALSE,,,,,,,,,,,
150,FALSE,,,,,,,,,,,
151,FALSE,,,,,,,,,,,
152,FALSE,,,,,,,,,,,
153,FALSE,,,,,,,,,,,
154,FALSE,,,,,,,,,,,
155,FALSE,,,,,,,,,,,
156,FALSE,,,,,,,,,,,
157,FALSE,,,,,,,,,,,
158,FALSE,,,,,,,,,,,
159,FALSE,,,,,,,,,,,
160,FALSE,,,,,,,,,,,
161,FALSE,,,,,,,,,,,
162,FALSE,,,,,,,,,,,
163,FALSE,,,,,,,,,,,
164,FALSE,,,,,,,,,,,
165,FALSE,,,,,,,,,,,
166,FALSE,,,,,,,,,,,
167,FALSE,,,,,,,,,,,
168,FALSE,,,,,,,,,,,
169,FALSE,,,,,,,,,,,
170,FALSE,,,,,,,,,,,
171,FALSE,,,,,,,,,,,
172,FALSE,,,,,,,,,,,
173,FALSE,,,,,,,,,,,
174,FALSE,,,,,,,,,,,
175,FALSE,,,,,,,,,,,
176,FALSE,,,,,,,,,,,
177,FALSE,,,,,,,,,,,
178,FALSE,,,,,,,,,,,
179,FALSE,,,,,,,,,,,
180,FALSE,,,,,,,,,,,
181,FALSE,,,,,,,,,,,
182,FALSE,,,,,,,,,,,
183,FALSE,,,,,,,,,,,
184,FALSE,,,,,,,,,,,
185,FALSE,,,,,,,,,,,
186,FALSE,,,,,,,,,,,
187,FALSE,,,,,,,,,,,
188,FALSE,,,,,,,,,,,
189,FALSE,,,,,,,,,,,
190,FALSE,,,,,,,,,,,
191,FALSE,,,,,,,,,,,
192,FALSE,,,,,,,,,,,
193,FALSE,,,,,,,,,,,
194,FALSE,,,,,,,,,,,
195,FALSE,,,,,,,,,,,
196,FALSE,,,,,,,,,,,
197,FALSE,,,,,,,,,,,
198,FALSE,,,,,,,,,,,
199,FALSE,,,,,,,,,,,
200,FALSE,,,,,,,,,,,
201,FALSE,,,,,,,,,,,
202,FALSE,,,,,,,,,,,
203,FALSE,,,,,,,,,,,
204,FALSE,,,,,,,,,,,
205,FALSE,,,,,,,,,,,
206,FALSE,,,,,,,,,,,
207,FALSE,,,,,,,,,,,
208,FALSE,,,,,,,,,,,
209,FALSE,,,,,,,,,,,
210,FALSE,,,,,,,,,,,
211,FALSE,,,,,,,,,,,
212,FALSE,,,,,,,,,,,
213,FALSE,,,,,,,,,,,
214,FALSE,,,,,,,,,,,
215,FALSE,,,,,,,,,,,
216,FALSE,,,,,,,,,,,
217,FALSE,,,,,,,,,,,
218,FALSE,,,,,,,,,,,
219,FALSE,,,,,,,,,,,
220,FALSE,,,,,,,,,,,
221,FALSE,,,,,,,,,,,
222,FALSE,,,,,,,,,,,
223,FALSE,,,,,,,,,,,
224,FALSE,,,,,,,,,,,
225,FALSE,,,,,,,,,,,
226,FALSE,,,,,,,,,,,
227,FALSE,,,,,,,,,,,
228,FALSE,,,,,,,,,,,
229,FALSE,,,,,,,,,,,
230,FALSE,,,,,,,,,,,
231,FALSE,,,,,,,,,,,
232,FALSE,,,,,,,,,,,
233,FALSE,,,,,,,,,,,
234,FALSE,,,,,,,,,,,
235,FALSE,,,,,,,,,,,
236,FALSE,,,,,,,,,,,
237,FALSE,,,,,,,,,,,
238,FALSE,,,,,,,,,,,
239,FALSE,,,,,,,,,,,
240,FALSE,,,,,,,,,,,
241,FALSE,,,,,,,,,,,
242,FALSE,,,,,,,,,,,
243,FALSE,,,,,,,,,,,
244,FALSE,,,,,,,,,,,
245,FALSE,,,,,,,,,,,
246,FALSE,,,,,,,,,,,
247,FALSE,,,,,,,,,,,
248,FALSE,,,,,,,,,,,
249,FALSE,,,,,,,,,,,
250,FALSE,,,,,,,,,,,
251,FALSE,,,,,,,,,,,
252,FALSE,,,,,,,,,,,
253,FALSE,,,,,,,,,,,
254,FALSE,,,,,,,,,,,
